"","p_cntrl7291","p_cncr8189","p_cntrl2338","p_cncr4009","p_cncr4149","p_cncr8106","p_cncr7486","p_cncr3370","p_cntrl7734","p_cncr4167","p_cntrl3474","p_cncr7831","p_cntrl3963","p_cncr7735","p_cncr5687","p_cncr8514","p_cntrl9441","p_cncr4667","p_cntrl1189","p_cntrl5569","p_cncr3070","p_cncr7179","p_cncr9820","p_cntrl1085","p_cntrl2636","p_cncr5196","p_cncr8934","p_cncr2543","p_cncr8186","p_cncr2876"
"00011110000001110110",15988,1057002,4429,8715,166169,1133,2065,1976,52827,42075,11961183,64623,615801,906,78339,3239,34030,2548337,1821835,669495,82999,1309539,2075335,25345,60348,291515,39626,52113,198630,500968
"01000100101001110001",86966,393163,18887,15937,39489,2903,134268,49467,224905,82132,71091,3933,66065,2643,3529288,62478,2346363,468959,829708,17041,3879,7442,222921,334858,129834,2571,733,7117992,102215,13953
"10010001000101100001",59070,3124360,115893,35101,206400,444,14688,12823,61362,10160,2679,67,71560,73688,181562,12939,50024,84844,12380,13497,132907,11641,182191,66629,852005,3208290,51084,585030,47896,383428
"10111110010010101001",4480,436925,168345,3552,25941,7070,609,174369,151453,2065578,460297,89912,5775,10302,168971,3381879,11802,194537,1429,1363837,146647,67424,777197,2831,294743,1346988,6307,3981938,9224,1934505
"00010011101110001101",1147,3,214,136,345,20,8,3,1,23,33,0,0,0,22,149,321,433641,1,480,5,0,12,17422786,45753,625309,1901,10,1,10064
"11101011110000110100",131,0,12359,0,0,1,2,4,109,0,16023320,0,181419,0,6,0,1167,0,230,102,0,0,0,4120,1966,0,3,1,5489,108
"00111100101010111000",5561,115578,17447,3300,522844,90729,1228,173974,14278,639191,73274,173678,5287,50763,437445,9048121,8052,243745,95753,1600456,11096,58724,295327,5696,26263,5381,19821,204089,53827,684026
"01010111001000011100",922,4,29,6,23,4,4,3,35,0,914,0,0,2,392,6,838,38714,1,1420,2,3,169,4158129,3525,92429,1824,8,74,13126
"00111111100101010000",383,5,14,766,224,357,2,1,2,18,8009,0,1,4,13,10,7159,34815,19,92,27,973,0,17011,11404,147904,12,7,12026,1113775
"00110111011101010110",71,0,1,0,0,0,0,0,0,0,6542,0,0,0,0,0,75885,1,0,155,0,0,0,8139,1288,2047,0,0,2,1610
"00000111100101010110",85,2,5,2654,170,61,60,0,1,9,14299,0,14,0,2,0,9023,429527,340,27,3,134,11,1062197,58600,264957,428,2,1996,70821
